round,timestamp,hit_rate,miss_rate,latency_mean,latency_p95,latency_p99,hop_latency_mean,bandwidth_total_bytes,avg_cache_utilization,redundancy_mean
7,1763785392.019857,69.54784126610038,30.45215873389962,1.6741329666218165,5.5325711011886565,11.925917367935186,3.396527171666131,366077559,30.32279569892473,35.05025817555938
8,1763785395.82336,69.56428961737736,30.435710382622638,1.6734468157272004,5.521810209751122,11.917798452377303,3.3960561110734413,366630047,30.32279569892473,35.046783625730995
9,1763785399.605045,69.58229793876836,30.417702061231644,1.672677264813824,5.51476147174835,11.911985385417982,3.3955784669788778,367188032,30.32279569892473,35.04125128910278
10,1763785403.605547,69.60098446759825,30.399015532401748,1.6721450296947893,5.5055773258209175,11.90449677467347,3.395003707657655,367724504,30.32279569892473,35.04879725085911
11,1763785407.918745,69.62280329163872,30.377196708361286,1.6716091355592964,5.497841489315015,11.891536302566523,3.3944230303559593,368349328,30.32279569892473,35.03983516483517
12,1763785411.546426,69.64349061707892,30.356509382921082,1.6709258343531976,5.487594532966614,11.883680706024203,3.3938210853628807,368768746,30.32279569892473,35.042911088225196
13,1763785415.180427,69.66555137623936,30.334448623760636,1.6698511717710323,5.479985904693603,11.875107221603438,3.3930122536847125,369347011,30.32279569892473,35.02400548696845
14,1763785418.820365,69.68749382691662,30.31250617308338,1.6685764452362868,5.474429285526275,11.86844745635991,3.3922169764731445,369879835,30.32279569892473,34.985963711057856
15,1763785422.453232,69.71051162864079,30.28948837135921,1.6675634279565883,5.464993023872371,11.851777195930456,3.3914315070789463,370404878,30.32279569892473,35.0065046217049
16,1763785426.262681,69.736673721514,30.263326278485998,1.666826178402907,5.456612682342529,11.843444404602051,3.390604912142541,370887299,30.32279569892473,35.00068422853233
17,1763785431.569453,69.76672883824318,30.233271161756814,1.667366601742359,5.444460606574999,11.838783378601075,3.389615315827023,371447896,30.32279569892473,35.013684570646596
18,1763785434.994693,69.79712760948046,30.20287239051954,1.6662232925895244,5.436277818679809,11.835878422260294,3.38859676659865,371983145,30.32279569892473,35.03181662675333
19,1763785438.392241,69.8290484454142,30.170951554585802,1.665094892444359,5.424079263210295,11.828019387722012,3.3874947605933947,372510409,30.32279569892473,35.05234348272323
20,1763785442.2999911,69.8594485094268,30.1405514905732,1.6640357138735213,5.411428654193875,11.824005286693572,3.3864090541127148,372959752,30.32279569892473,35.03178400546822
21,1763785445.7523782,69.88702241203637,30.11297758796363,1.6628290548182254,5.39783760309219,11.812741169929502,3.3854218311426196,373530864,30.32279569892473,35.006484641638224
22,1763785449.2326982,69.91857404228539,30.081425957714618,1.6617133756756233,5.3838702678680415,11.805700345039366,3.3843581884818996,374097532,30.32279569892473,35.02286689419795
23,1763785452.959317,69.95343879944454,30.046561200555466,1.6601680425017091,5.371727740764556,11.799869692325602,3.38304269860472,374620071,30.32279569892473,35.03617747440273
24,1763785456.87602,69.98656561107056,30.013434388929443,1.659425867185299,5.357987105846405,11.7917361497879,3.3818880364048645,375084407,30.32279569892473,35.043671102012965
25,1763785460.430444,70.01860320905357,29.98139679094644,1.6584244895952542,5.343921196460722,11.783869802951797,3.380743740795287,375525289,30.32279569892473,35.049113233287855
26,1763785463.920646,70.05279009890648,29.947209901093526,1.6573177225924542,5.328112173080403,11.775203886032104,3.3795335359307326,376031699,30.32279569892473,35.031005110732536
27,1763785466.958708,70.08439576225534,29.91560423774466,1.6558654941099624,5.312320232391338,11.76693435668936,3.378413915743256,376545183,30.32279569892473,35.04393732970027
28,1763785469.891855,70.1204763547567,29.879523645243296,1.6544117934714988,5.301256179809557,11.751271028518682,3.377059575181601,376979456,30.32279569892473,35.04698672114402
29,1763785473.9028091,70.15436765820569,29.845632341794314,1.653301477528114,5.289331400394434,11.743463442325574,3.3758325349462677,377484845,30.32279569892473,35.06435137895812
30,1763785476.920465,70.19002922640286,29.80997077359715,1.6518432255392037,5.2754199385641405,11.737091767787946,3.3744109593249894,378022267,30.32279569892473,35.08001361933946
31,1763785480.3065758,70.2222639643335,29.777736035666504,1.6506009457679947,5.255130672454832,11.728012688159938,3.373198753359069,378659067,30.32279569892473,35.083390061266165
32,1763785483.971953,70.25656724128035,29.743432758719653,1.6495186778456146,5.2463709712028495,11.717293181419372,3.3718139552681423,379102389,30.32279569892473,35.10279101429544
33,1763785486.972281,70.29115311606022,29.708846883939792,1.6480316650271873,5.233742499351485,11.70433448791487,3.3704038255143782,379595207,30.32279569892473,35.120490129339686
34,1763785491.9670348,70.32474377131268,29.675256228687317,1.6478589533270738,5.221046066284178,11.695009584426879,3.369220916114054,380064938,30.32279569892473,35.13235794487921
35,1763785494.93194,70.3616676782225,29.6383323217775,1.6464173701939564,5.207949972152684,11.68350728988649,3.367866390914643,380518676,30.32279569892473,35.13367346938775
36,1763785498.3386009,70.40046640054996,29.59953359945004,1.6451060726828848,5.191916525363922,11.677655816078186,3.3663997903476357,381081132,30.32279569892473,35.126444595513256
